Study_Hours_per_Week;Preferred_Learning_Style;Online_Courses_Completed;Participation_in_Discussions;Assignment_Completion_Rate (%);Attendance_Rate (%);Use_of_Educational_Tech;Self_Reported_Stress_Level;Time_Spent_on_Social_Media (hours/week);Sleep_Hours_per_Night;Final_Grade
2;3;2;0;73;70;0;0;15;7;1
3;0;6;1;64;52;1;1;20;4;1
2;2;19;0;99;92;0;2;4;8;1
3;3;2;1;91;61;1;1;23;7;2
3;1;17;1;92;52;0;1;2;7;1
1;0;16;1;89;67;1;2;6;5;1
3;0;2;0;66;61;0;1;20;8;1
1;0;4;1;58;88;1;0;5;4;2
2;1;0;1;97;57;1;1;7;9;2
1;0;17;1;95;92;0;1;4;10;0
2;1;14;1;83;74;1;0;9;9;3
1;3;5;1;68;52;0;1;19;8;0
1;3;2;1;84;84;0;2;7;9;1
3;0;5;0;53;93;1;2;16;4;1
3;3;19;0;60;57;1;2;21;10;1
2;2;11;0;79;84;1;1;13;5;2
2;2;6;0;100;96;1;2;13;9;2
3;2;14;1;67;80;1;1;15;7;1
1;2;11;0;73;59;1;1;8;8;0
2;3;14;1;89;96;1;0;1;6;1
1;1;4;1;76;93;1;2;0;4;3
2;1;14;1;63;73;1;1;27;6;3
2;3;18;1;93;53;1;2;8;7;0
3;1;8;1;70;86;1;2;19;8;0
3;3;1;0;60;85;1;1;18;6;1
3;1;13;1;52;80;0;2;5;7;2
2;3;2;1;50;68;1;1;11;5;0
2;3;11;1;93;96;0;0;16;5;2
3;0;18;0;68;77;1;1;23;5;1
3;2;10;0;68;69;1;2;13;4;3
3;3;19;0;91;91;0;1;15;8;0
3;0;11;1;60;97;1;0;18;4;1
3;3;14;1;62;58;1;0;19;4;1
1;2;8;0;89;52;0;1;2;5;3
3;1;8;0;84;55;1;2;13;9;3
2;2;9;0;89;51;1;1;11;10;1
2;0;18;1;94;57;1;2;29;9;0
1;0;4;0;50;97;1;1;0;4;3
1;2;8;0;61;85;1;1;22;7;2
3;1;11;1;56;52;1;2;7;9;1
2;0;10;1;61;98;1;1;21;4;2
1;1;15;0;63;80;1;2;19;4;1
3;3;3;1;69;56;1;0;6;9;3
2;3;0;1;71;74;1;1;12;6;1
3;1;19;0;90;74;1;2;18;9;3
1;3;1;1;91;83;0;2;3;10;0
1;2;3;1;86;96;1;2;7;4;2
3;2;8;0;81;76;0;2;22;4;3
2;3;9;0;72;98;0;0;14;6;3
3;1;11;1;66;99;1;0;2;6;1
2;3;20;1;76;51;1;1;15;9;2
3;3;7;0;64;63;1;0;9;6;3
2;1;9;1;53;64;1;2;1;5;3
2;3;12;0;74;93;1;1;21;10;1
3;3;0;1;80;61;1;2;5;9;0
2;1;19;1;59;74;1;1;22;4;3
3;0;3;0;87;89;1;2;8;4;1
2;1;9;0;51;67;0;1;16;6;2
3;2;13;1;70;82;0;2;4;10;1
2;2;12;1;65;55;1;1;6;4;3
3;1;6;1;61;70;1;2;29;8;0
2;2;8;1;87;55;0;1;30;5;3
1;3;2;0;88;74;1;2;6;6;0
2;2;3;1;62;90;0;1;0;10;1
3;2;8;0;89;60;1;2;29;4;3
1;3;16;1;95;51;1;2;22;9;0
3;2;13;0;50;59;1;1;13;7;1
2;1;18;1;85;70;1;1;12;4;3
1;2;5;0;76;91;1;0;20;8;0
3;0;4;1;85;57;0;1;2;8;0
2;1;4;0;67;82;0;2;15;9;1
3;0;20;0;96;73;0;0;14;6;1
2;2;20;1;52;96;1;1;25;10;3
2;0;11;1;77;98;0;1;12;5;2
1;0;2;0;71;65;0;1;26;10;1
2;0;3;1;66;65;1;1;1;9;2
3;2;1;0;72;77;0;1;14;4;1
1;3;14;1;71;66;0;1;4;9;1
1;3;1;0;70;88;1;2;21;5;3
3;1;16;1;78;89;1;0;8;10;2
3;3;13;0;93;53;1;1;15;5;0
3;0;6;1;67;68;1;0;8;10;0
3;1;1;1;83;74;1;2;13;5;3
3;0;15;1;96;75;0;2;16;8;3
3;3;15;1;71;71;0;1;4;4;3
3;0;17;1;98;73;1;2;20;5;3
2;1;14;0;91;76;0;2;27;10;0
3;1;17;1;78;63;1;1;12;10;2
1;3;4;0;54;63;1;0;23;10;2
3;2;4;1;64;55;1;1;12;6;0
1;1;14;0;72;83;1;1;0;6;1
1;1;1;1;53;100;1;0;3;6;0
2;0;17;1;51;65;1;1;13;8;1
3;3;10;0;65;54;1;1;22;10;0
2;1;14;1;52;64;0;2;22;8;0
3;2;1;1;70;93;0;1;7;5;1
1;3;12;1;59;83;1;1;1;7;2
3;1;13;1;55;51;1;1;3;6;3
2;2;16;1;53;98;1;1;3;5;1
3;0;19;1;91;100;1;0;18;6;2
3;3;4;1;61;51;0;2;15;10;1
3;2;10;0;78;86;0;1;27;9;0
2;1;8;0;54;94;1;0;8;8;3
3;0;4;1;73;60;0;2;16;7;3
3;0;19;1;73;54;0;2;21;6;1
2;3;9;0;67;53;1;2;7;9;2
3;3;16;0;55;60;1;2;13;9;2
1;1;10;1;79;55;1;0;11;9;1
2;0;4;1;91;83;1;1;19;6;1
2;1;8;0;94;96;0;1;14;9;2
1;0;3;0;60;68;0;2;22;8;3
3;0;10;0;55;56;1;1;25;10;2
2;2;19;1;79;62;0;1;20;4;1
1;3;20;1;98;87;0;1;16;6;1
3;2;14;0;76;75;0;1;27;8;1
3;3;2;1;71;78;1;2;1;5;2
3;3;19;1;51;79;1;1;22;6;1
3;2;2;1;94;51;0;2;22;7;3
1;3;3;0;50;93;1;1;30;6;3
2;2;3;1;66;68;0;1;13;5;0
1;3;5;1;56;99;1;2;12;7;3
3;3;4;1;90;64;1;1;9;6;0
3;3;15;1;66;84;0;1;14;10;0
3;0;18;1;78;99;0;1;4;7;2
3;1;17;1;97;78;1;2;19;7;1
1;2;19;1;77;87;0;2;9;5;2
2;2;0;0;73;67;1;0;29;6;0
2;2;4;0;86;89;1;2;25;10;3
2;0;5;0;50;78;1;1;30;6;3
2;0;4;0;61;91;1;1;28;5;1
2;1;0;0;89;96;1;1;0;5;3
2;2;19;1;58;84;1;2;4;4;2
2;0;16;1;51;98;1;2;9;9;2
1;3;14;1;55;85;1;2;27;4;0
2;1;2;1;82;68;1;1;14;7;1
1;0;4;0;77;99;0;1;18;9;2
3;2;18;0;57;97;0;1;23;7;1
2;1;11;1;57;55;1;1;9;10;2
1;0;8;0;67;71;1;1;22;10;2
2;0;5;1;67;84;1;2;19;7;1
3;3;4;1;72;86;1;2;28;10;2
1;2;6;1;85;76;1;0;1;10;1
1;2;0;0;59;70;0;1;12;5;0
2;0;3;0;69;79;1;1;18;4;1
2;1;2;0;55;71;1;0;20;6;3
3;1;17;0;79;95;1;2;15;10;3
3;2;2;1;96;94;1;0;21;10;0
1;3;16;0;81;66;1;1;11;4;2
3;3;10;1;63;59;1;0;7;10;3
3;2;17;0;75;63;0;0;5;9;1
3;3;5;1;77;87;1;2;24;5;2
2;1;15;1;53;51;1;1;20;10;0
2;1;18;0;87;85;1;0;22;10;1
1;3;9;0;65;89;1;1;0;4;3
1;1;17;0;74;82;1;2;6;6;2
1;3;0;0;97;85;1;2;4;6;3
2;1;1;0;61;91;1;2;0;10;1
2;0;9;1;87;64;1;0;2;5;3
3;0;12;1;70;81;1;1;1;9;3
3;0;16;1;63;72;1;1;5;4;2
2;1;14;0;100;64;1;1;17;7;3
2;0;12;1;59;68;1;2;8;6;0
3;1;3;1;73;78;1;1;29;9;1
2;0;5;1;97;53;1;0;19;4;3
3;0;17;0;93;95;1;1;0;5;2
2;1;18;0;77;69;1;2;11;10;2
1;0;9;1;100;58;1;1;19;9;3
2;2;8;1;84;69;0;0;15;4;0
3;2;6;0;90;87;1;2;10;6;0
3;3;10;1;68;55;1;1;7;8;2
3;0;0;0;91;51;0;1;29;7;3
3;2;15;0;64;93;1;2;1;6;3
2;3;1;1;79;59;1;0;22;7;3
2;3;8;0;79;86;0;1;3;5;1
2;0;17;1;60;78;0;2;13;8;0
1;2;17;1;92;83;0;1;9;10;3
1;2;11;0;77;98;1;0;22;5;1
3;1;16;0;83;77;0;0;9;8;2
1;2;3;0;52;77;1;2;22;7;1
3;2;1;1;91;70;0;2;20;5;2
2;3;14;0;82;97;0;0;10;8;0
2;0;13;0;100;67;0;1;12;10;3
1;3;8;1;99;89;0;1;8;8;2
2;2;17;0;82;78;0;2;30;7;1
3;2;20;0;67;51;1;1;10;10;3
1;0;14;0;95;59;0;1;22;10;3
3;0;14;1;92;74;1;1;8;4;3
2;3;16;1;98;80;1;1;1;10;3
3;2;15;1;93;96;0;2;19;6;2
2;2;8;1;53;70;0;0;12;8;1
3;0;18;1;61;85;1;1;6;6;0
3;0;5;1;64;52;0;1;2;6;0
3;2;6;1;100;99;1;1;7;9;1
3;1;16;1;71;94;1;1;26;6;3
2;1;17;1;84;91;1;1;0;8;2
2;2;1;1;79;98;1;1;9;5;2
3;0;9;1;95;74;0;1;28;8;0
2;0;0;1;67;89;0;1;4;4;1
1;1;3;0;95;78;1;1;5;8;3
3;1;15;1;51;50;1;2;14;7;2
1;2;5;1;100;95;1;2;13;8;3
2;1;2;1;54;95;0;1;0;5;0
3;3;5;1;70;76;1;1;16;4;1
2;2;11;1;68;80;0;1;9;6;2
3;1;11;1;54;89;1;2;1;5;1
3;1;4;1;95;87;1;1;21;4;1
3;2;14;0;76;71;1;0;1;6;2
3;3;6;1;96;95;0;1;16;5;0
1;3;18;0;72;90;1;1;10;7;1
3;2;19;0;64;63;1;2;9;6;3
3;0;13;0;82;62;1;1;1;5;0
3;0;11;1;68;56;0;0;29;7;0
1;1;9;1;57;63;0;1;19;6;1
1;2;0;0;53;79;1;2;13;7;2
1;2;5;0;68;51;1;0;18;5;2
1;0;14;0;61;81;1;2;18;9;3
2;0;10;0;92;92;0;1;30;6;0
2;3;13;1;77;79;1;1;13;6;1
3;1;10;0;85;97;0;0;28;4;3
1;0;8;1;81;59;1;1;13;6;1
1;1;3;0;92;73;1;1;8;7;1
3;2;14;0;52;95;0;0;3;8;0
3;3;2;1;70;84;0;1;13;4;0
1;2;16;0;95;55;0;1;26;7;3
1;1;19;0;62;53;1;2;26;9;0
3;1;1;0;65;89;1;2;19;9;3
3;2;14;0;72;56;1;0;13;5;3
2;3;12;0;54;80;0;1;17;5;3
2;3;9;1;58;53;1;1;0;9;1
3;2;17;0;64;69;1;2;26;8;2
2;2;20;0;51;56;1;0;2;8;2
1;2;19;1;89;80;1;2;28;10;3
3;2;12;0;76;55;0;2;17;9;1
2;0;3;1;55;55;1;0;12;8;0
2;0;9;0;52;67;0;0;20;8;2
1;2;10;1;91;69;1;0;7;10;2
1;2;13;1;90;87;1;1;10;4;1
1;0;5;0;89;61;0;0;1;5;1
3;1;5;0;77;56;1;0;20;9;2
3;1;0;0;64;98;0;1;27;5;2
3;2;7;0;63;60;1;2;4;6;1
1;1;15;0;64;87;1;1;15;5;1
3;1;15;0;92;91;1;0;18;7;1
3;3;5;1;93;89;1;1;5;8;3
2;3;7;0;91;50;1;2;29;9;3
3;1;2;0;51;60;1;1;3;7;0
3;2;1;0;100;86;0;2;26;9;0
3;0;15;1;88;77;1;0;6;10;2
2;2;16;0;90;51;1;1;18;6;1
1;0;5;1;95;67;1;0;28;7;2
1;0;20;1;64;57;0;2;3;9;2
3;0;17;0;98;75;1;1;9;4;1
3;2;20;1;70;56;1;1;24;7;0
3;1;14;1;56;77;1;1;2;4;0
3;3;10;0;87;77;0;0;18;7;0
3;2;12;1;91;87;0;1;1;10;3
2;3;1;1;87;51;1;2;1;8;0
3;1;6;1;64;80;1;1;10;4;1
3;3;18;0;57;87;1;2;14;8;3
1;2;6;1;62;60;0;2;3;8;0
2;0;12;0;75;71;1;1;18;10;1
2;3;17;1;50;88;1;1;5;5;3
3;3;16;1;98;63;1;1;28;7;0
2;0;13;0;68;61;1;1;19;6;2
2;0;6;1;55;58;0;2;17;7;0
3;0;8;0;59;97;1;1;21;8;2
2;3;14;1;82;86;1;2;2;5;1
2;0;13;1;68;80;0;1;6;5;1
2;0;19;1;87;100;0;0;0;4;2
2;2;3;0;56;74;1;1;9;7;2
3;1;10;1;100;80;0;1;16;4;2
1;1;12;1;76;100;1;1;14;6;3
3;3;11;0;81;50;0;1;21;7;3
3;1;19;1;52;50;1;0;10;7;2
1;3;3;1;57;64;0;1;29;7;1
3;2;16;1;50;62;0;2;3;6;1
2;1;13;1;71;77;1;0;30;4;2
2;2;10;1;77;96;1;1;11;5;0
3;0;13;1;94;62;1;1;1;10;0
3;1;20;0;76;51;1;0;28;10;3
2;3;8;1;59;71;1;0;30;4;2
1;3;20;1;93;50;1;1;20;10;3
1;3;17;0;61;64;0;1;3;10;2
1;3;20;0;72;62;1;1;11;9;3
3;1;4;0;89;89;1;2;2;6;2
1;2;0;1;57;52;1;1;14;4;3
2;2;14;0;58;89;1;2;11;5;3
3;0;15;1;59;75;1;1;0;8;2
2;3;9;1;81;55;1;0;4;5;3
2;1;13;0;79;60;0;2;1;10;1
3;2;0;0;85;69;1;1;0;7;2
2;3;2;1;69;71;0;1;14;9;3
3;3;7;0;50;100;0;1;26;7;3
2;3;10;1;64;81;1;0;15;8;0
2;0;14;1;68;85;1;1;2;8;3
3;3;16;0;80;50;0;1;3;7;2
3;0;17;1;77;88;1;1;13;10;3
3;1;5;1;52;83;1;0;7;8;0
1;3;0;0;67;68;1;1;25;6;1
3;2;0;0;64;72;0;1;26;10;1
3;3;12;1;67;66;1;1;5;7;2
3;1;0;0;100;89;0;2;4;6;3
3;0;16;0;99;97;1;2;26;6;3
3;2;18;0;64;87;1;2;19;8;3
3;1;6;1;66;78;0;1;11;5;2
2;0;2;1;82;79;1;2;28;4;1
3;0;14;1;67;100;1;2;5;8;3
3;1;17;1;91;55;1;1;11;5;2
2;3;17;1;88;79;0;1;11;6;0
2;3;20;1;57;96;1;1;18;9;1
3;3;19;1;83;95;1;0;16;8;3
2;1;4;0;59;69;0;1;18;7;1
2;1;18;1;72;51;1;1;27;9;2
2;1;11;1;78;58;1;1;1;6;1
3;0;11;0;50;76;1;1;20;8;0
3;3;19;0;95;94;1;2;11;9;3
3;3;5;1;97;62;1;1;25;7;2
2;0;15;0;96;65;1;0;22;4;0
1;3;11;0;89;75;0;2;2;8;2
2;3;4;0;100;64;1;1;18;10;0
2;1;5;0;88;53;1;1;10;7;1
3;0;15;0;75;73;1;1;4;8;0
2;3;11;0;67;79;1;1;9;5;0
3;2;17;0;82;98;1;0;8;8;3
2;1;10;1;80;84;1;1;29;10;1
1;1;7;1;94;98;1;1;7;10;3
3;3;9;1;90;77;1;0;21;4;2
2;1;8;0;72;73;0;1;3;10;1
2;3;6;0;69;100;1;1;10;8;2
1;2;15;1;99;97;1;1;14;7;0
3;0;4;0;55;96;0;1;13;4;3
1;0;0;1;68;68;1;2;30;10;0
2;1;4;0;93;79;1;0;9;4;0
3;2;8;1;90;61;1;1;28;5;2
3;3;8;1;68;70;1;1;5;10;2
1;3;13;1;89;94;0;2;27;8;0
2;3;15;1;50;75;1;1;14;7;0
2;1;0;1;67;94;0;2;20;8;3
1;0;18;1;65;57;0;2;16;6;0
2;3;5;0;71;50;1;1;21;9;3
2;2;5;1;72;66;0;1;9;4;0
2;3;3;1;76;56;0;1;26;6;1
3;1;7;0;96;53;1;1;26;7;3
3;2;19;1;50;56;1;2;9;4;2
1;1;7;1;78;93;1;2;5;5;3
2;2;3;0;55;71;0;0;16;7;1
3;1;15;1;58;55;1;2;10;9;3
2;2;6;0;73;75;0;1;8;6;0
1;0;20;0;50;86;1;1;20;6;1
1;3;5;1;97;70;1;0;25;8;1
1;0;1;1;78;81;0;1;17;6;3
3;1;4;1;82;72;1;0;24;7;0
2;1;5;1;73;79;1;2;29;6;3
3;2;15;0;64;53;1;2;8;10;2
3;2;16;1;84;98;1;1;4;8;2
3;2;1;1;87;62;1;1;5;6;3
1;2;16;1;92;71;1;2;28;5;1
2;1;11;1;56;70;0;2;25;8;0
2;0;16;0;55;82;1;1;28;4;0
3;3;19;0;60;83;1;1;0;5;0
2;2;16;0;62;71;1;1;2;10;2
1;0;17;0;77;83;1;0;5;6;2
1;0;0;0;69;79;1;2;3;7;3
3;0;16;1;55;96;1;2;28;5;3
1;2;15;1;54;78;0;2;24;9;3
3;3;1;1;86;80;1;2;15;8;0
1;1;15;1;94;73;1;2;29;4;3
3;2;9;1;82;92;1;2;19;5;1
3;1;17;1;90;98;1;1;2;9;2
3;1;11;0;94;98;1;0;14;5;1
3;2;0;0;90;78;1;1;25;7;1
2;3;18;1;77;89;1;1;23;9;1
2;0;9;1;54;76;1;2;10;9;2
3;3;4;1;53;54;1;0;4;7;3
3;2;14;1;87;84;0;2;3;8;1
3;3;18;1;99;66;1;2;27;6;2
3;1;20;1;79;71;1;0;20;6;2
3;3;15;1;91;60;0;1;20;10;1
2;2;4;0;59;59;1;0;15;5;1
3;2;13;1;92;85;1;1;20;10;0
3;1;3;1;60;95;1;1;20;10;0
3;2;0;1;70;100;0;1;6;4;1
3;3;17;0;79;95;1;1;14;6;3
3;0;14;1;82;69;0;2;20;6;0
2;3;8;1;66;66;1;1;6;6;3
2;2;11;1;79;65;1;1;6;9;3
3;1;5;1;73;52;1;1;23;5;3
1;1;9;0;86;84;1;1;7;6;2
2;2;17;0;86;73;0;2;23;6;3
3;2;3;1;73;86;1;1;10;9;0
2;0;5;1;70;81;1;1;12;6;3
3;3;19;0;92;87;1;2;9;6;3
3;3;14;0;98;81;1;1;4;6;1
3;1;15;1;76;56;1;1;7;6;0
2;1;2;0;88;79;1;2;30;7;2
2;0;15;1;65;67;0;1;11;4;1
2;0;20;1;68;93;1;0;12;10;0
3;3;9;0;97;73;1;0;28;4;2
3;1;15;0;67;53;1;2;9;9;2
3;2;13;1;73;73;0;2;18;6;3
2;3;8;1;65;75;0;1;17;9;2
3;3;4;1;73;57;1;0;17;4;1
3;1;13;1;61;62;1;1;12;5;2
2;2;6;1;93;82;1;2;9;6;1
3;1;16;1;65;57;1;1;8;4;1
3;0;12;1;73;62;1;1;14;10;0
3;1;4;0;78;56;1;0;29;4;2
3;1;6;0;83;96;1;1;1;9;0
3;3;7;1;76;81;1;2;22;6;1
1;3;19;1;93;96;1;1;13;10;1
2;1;16;0;89;78;1;1;20;6;3
3;1;1;0;82;74;1;1;5;4;1
3;0;3;0;84;55;1;1;21;4;1
1;0;14;0;89;65;1;2;29;4;3
1;0;17;1;56;75;1;1;12;10;3
3;2;7;0;90;73;0;1;20;6;2
2;2;13;1;93;90;1;1;6;5;0
1;1;17;0;55;65;1;1;1;5;2
3;2;1;1;55;69;1;1;8;5;2
3;1;18;1;93;54;1;0;10;5;2
3;0;18;1;83;59;1;1;2;9;2
1;1;20;0;59;83;0;1;10;6;0
3;0;7;0;96;99;1;1;23;10;2
1;3;0;1;78;65;0;1;28;5;0
3;0;3;1;66;67;0;0;2;10;0
3;0;10;0;98;75;1;1;7;7;3
1;0;13;0;54;70;1;0;0;7;1
2;0;14;1;53;62;1;1;17;5;0
3;2;13;1;76;65;1;0;15;5;0
2;2;12;1;75;65;1;2;28;7;0
3;2;9;0;67;79;1;1;19;5;2
2;1;4;1;62;99;1;1;10;4;0
1;0;2;0;69;63;1;2;30;6;3
1;3;13;1;67;79;1;1;3;6;2
2;0;3;0;82;53;1;2;21;4;1
3;2;10;0;75;65;1;0;18;8;1
3;2;0;1;81;76;0;2;8;7;0
3;1;20;0;58;76;0;2;4;9;0
3;3;14;0;69;83;0;2;29;7;2
3;2;11;0;75;89;1;0;6;8;1
3;2;0;0;95;56;1;1;17;9;1
2;3;6;1;68;95;1;1;19;8;3
2;0;0;1;75;67;1;2;14;8;3
2;0;10;0;58;55;0;2;1;8;1
1;0;15;1;58;72;0;2;23;7;0
3;1;18;0;63;72;1;1;18;6;2
1;3;17;1;83;81;1;2;29;10;3
1;2;0;0;66;66;0;2;4;10;0
3;0;12;0;72;84;0;1;22;9;3
3;3;1;1;64;93;1;0;19;7;0
2;1;18;1;95;82;1;1;0;7;3
2;2;19;0;70;63;0;1;22;6;3
3;1;4;1;79;63;1;0;10;5;0
2;1;13;1;85;84;0;0;3;9;0
2;0;20;1;52;85;1;2;13;4;3
2;3;6;0;87;94;1;2;26;7;1
1;3;6;1;57;66;1;1;9;6;0
3;3;10;0;80;73;1;0;0;5;1
2;0;4;1;97;80;1;1;13;8;1
2;1;20;0;55;72;0;2;27;10;2
1;3;20;0;51;51;1;1;10;8;1
3;2;4;0;58;100;0;2;7;6;1
2;3;19;1;82;90;1;1;12;10;3
2;1;14;1;92;59;0;0;0;5;1
1;0;8;1;53;92;1;0;1;7;0
1;2;1;1;54;80;0;2;4;8;3
2;2;20;1;56;86;1;1;23;9;1
2;1;0;1;63;75;0;2;4;7;0
2;1;17;1;55;92;0;0;8;4;2
2;2;15;0;81;93;1;2;25;10;1
3;0;7;1;69;52;0;1;2;6;2
3;3;7;0;79;70;1;1;28;6;1
3;1;7;1;65;94;0;1;2;6;3
3;0;11;1;88;89;0;2;6;7;2
3;1;8;0;59;85;0;0;18;7;1
3;2;17;1;81;91;1;0;11;6;0
3;0;2;1;85;62;1;1;16;5;1
3;2;9;1;52;66;1;1;20;6;1
2;3;5;1;83;60;0;2;16;10;1
2;1;0;1;96;65;1;1;6;4;3
3;0;11;1;56;85;1;0;3;10;0
3;2;5;0;92;97;1;2;27;5;1
3;2;12;0;79;80;0;0;3;4;2
3;2;19;0;87;75;1;0;16;10;0
2;3;10;0;77;88;0;2;30;9;3
1;2;2;1;67;70;1;1;1;10;1
1;1;7;1;72;64;0;1;23;6;1
3;3;18;1;51;80;0;2;1;9;0
3;0;20;1;73;97;1;2;11;9;0
2;1;14;1;80;81;1;0;0;9;1
2;0;14;0;51;87;1;1;25;8;1
2;0;16;0;90;79;1;1;20;8;1
3;1;0;1;73;72;1;1;23;7;0
2;0;18;0;61;94;0;2;6;5;3
3;2;8;0;91;58;1;0;0;5;3
3;0;4;1;96;89;0;0;4;8;2
2;3;14;0;79;58;1;1;20;9;2
2;1;11;1;80;68;1;1;2;6;1
